"objectid","rd20full","length_mi","class","xstrt1","xstrt2","district","sapid","iamfloc"
"6901","PROSPECT ST","0.03321560","Class II","GIRARD AV","GIRARD AV","1","SS-022423-PV1","SS-022423"
"6902","PROSPECT ST","0.00711676","Class II","EADS AV","EADS AV","1","SS-022426-PV1","SS-022426"
"6903","PROSPECT ST","0.07934754","Class II","DRAPER AV","EADS AV","1","SS-022427-PV1","SS-022427"
"6904","RUFFIN RD","0.23535637","Class IV (One-Way)","SKY PARK CT","RIDGEHAVEN CT","7","SS-023781-PV1","SS-023781"
"6905","RUFFIN RD","0.23535637","Class IV (One-Way)","SKY PARK CT","RIDGEHAVEN CT","7","SS-023781-PV1","SS-023781"
"6906","RICHMOND ST","0.25242419","Class II","ROBINSON AV","ESSEX ST","3","SS-023140-PV1","SS-023140"
"6907","RICHMOND ST","0.25222939","Class II","PENNSYLVANIA AV","ROBINSON AV","3","SS-023141-PV1","SS-023141"
"6908","RICHMOND ST","0.25091554","Class II","ESSEX ST","UNIVERSITY AV","3","SS-023139-PV1","SS-023139"
"6909","RICHMOND ST","0.25066615","Class II","ROBINSON AV","ESSEX ST","3","SS-023140-PV1","SS-023140"
"6910","RICHMOND ST","0.25082087","Class II","PENNSYLVANIA AV","ROBINSON AV","3","SS-023141-PV1","SS-023141"
"6911","RICHMOND ST","0.25242419","Class II","ESSEX ST","UNIVERSITY AV","3","SS-023139-PV1","SS-023139"
"6912","PARK BL","0.02686987","Class II","MORLEY FIELD DR","UPAS ST","3","SS-021188-PV1","SS-021188"
"6913","PARK BL","0.07429006","Class IV (One-Way)","ZOO PL","MORLEY FIELD DR","3","SS-021191-PV1","SS-021191"
"6914","PARK BL","0.78077271","Class IV (One-Way)","PRESIDENTS WY","ZOO PL","3","SS-021192-PV1","SS-021192"
"6915","PARK BL","0.12033977","Class II","MORLEY FIELD DR","UPAS ST","3","SS-021188-PV1","SS-021188"
"6916","PARK BL","0.36287472","Class IV (One-Way)","ZOO PL","MORLEY FIELD DR","3","SS-021191-PV1","SS-021191"
"6917","PARK BL","0.77838468","Class IV (One-Way)","PRESIDENTS WY","ZOO PL","3","SS-021192-PV1","SS-021192"
"6918","HOME AV","0.12568108","Class IV (One-Way)","MENLO AV","47TH ST","4","SS-013670-PV1","SS-013670"
"6919","HOME AV","0.19799851","Class IV (One-Way)","FAIRMOUNT AV","45TH ST","4","SS-013672-PV1","SS-013672"
"6920","HOME AV","0.18042386","Class IV (One-Way)","47TH ST","EUCLID AV","9","SS-013669-PV1","SS-013669"
"6921","HOME AV","0.11481244","Class IV (One-Way)","45TH ST","46TH ST","4","SS-013677-PV1","SS-013677"
"6922","HOME AV","0.11675869","Class IV (One-Way)","46TH ST","MENLO AV","4","SS-013676-PV1","SS-013676"
"6923","HOME AV","0.12568108","Class IV (One-Way)","MENLO AV","47TH ST","9","SS-013670-PV1","SS-013670"
"6924","HOME AV","0.41325400","Class II","FAIRMOUNT AV","45TH ST","9","SS-013672-PV1","SS-013672"
"6925","HOME AV","0.17504303","Class IV (One-Way)","47TH ST","EUCLID AV","9","SS-013669-PV1","SS-013669"
"6926","HOME AV","0.11498352","Class II","45TH ST","46TH ST","9","SS-013677-PV1","SS-013677"
"6927","HOME AV","0.11674750","Class II","46TH ST","MENLO AV","9","SS-013676-PV1","SS-013676"
"6928","FAIRMOUNT AV","0.07072480","Class II","MAPLE ST","COLUMBINE ST","9","SS-010809-PV1","SS-010809"
"6929","FAIRMOUNT AV","0.12949783","Class II","LAUREL ST","MAPLE ST","9","SS-010810-PV1","SS-010810"
"6930","FAIRMOUNT AV","0.34662571","Class II","HOME AV","LAUREL ST","9","SS-010820-PV1","SS-010820"
"6931","FAIRMOUNT AV","0.07072480","Class II","MAPLE ST","COLUMBINE ST","9","SS-010809-PV1","SS-010809"
"6932","FAIRMOUNT AV","0.12949783","Class II","LAUREL ST","MAPLE ST","9","SS-010810-PV1","SS-010810"
"6933","FAIRMOUNT AV","0.20651665","Class II","HOME AV","LAUREL ST","9","SS-010820-PV1","SS-010820"
"6934","47TH ST","0.04375653","Class IV (One-Way)","F ST","CRAIGIE ST","4","SS-001129-PV1","SS-001129"
"6935","MARKET ST","0.14808442","Class IV (One-Way)","43RD ST","45TH ST","4","SS-017620-PV1","SS-017620"
"6936","47TH ST","0.04375653","Class II","F ST","CRAIGIE ST","4","SS-001129-PV1","SS-001129"
"6937","47TH ST","0.04850488","Class IV (One-Way)","CRAIGIE ST","HILLTOP DR","4","SS-001128-PV1","SS-001128"
"6938","47TH ST","0.11342586","Class IV (One-Way)","HILLTOP DR","C ST","4","SS-001127-PV1","SS-001127"
"6939","47TH ST","0.05211772","Class II","MARKET ST","GUYMON ST","4","SS-001131-PV1","SS-001131"
"6940","47TH ST","0.11348757","Class IV (One-Way)","HILLTOP DR","C ST","4","SS-001127-PV1","SS-001127"
"6941","47TH ST","0.06683681","Class IV (One-Way)","C ST","A ST","4","SS-001142-PV1","SS-001142"
"6942","47TH ST","0.06687744","Class II","C ST","A ST","4","SS-001142-PV1","SS-001142"
"6943","MARKET ST","0.17070389","Class IV (One-Way)","45TH ST","COTTON ST","4","SS-017604-PV1","SS-017604"
"6944","MARKET ST","0.07992988","Class IV (One-Way)","COTTON ST","47TH ST","4","SS-017605-PV1","SS-017605"
"6945","MARKET ST","0.17075081","Class II","45TH ST","COTTON ST","4","SS-017604-PV1","SS-017604"
"6946","47TH ST","0.10310979","Class III","GUYMON ST","F ST","4","SS-001130-PV1","SS-001130"
"6947","47TH ST","0.04848282","Class II","CRAIGIE ST","HILLTOP DR","4","SS-001128-PV1","SS-001128"
"6948","47TH ST","0.10295991","Class II","GUYMON ST","F ST","4","SS-001130-PV1","SS-001130"
"6949","MARKET ST","0.14804608","Class IV (One-Way)","43RD ST","45TH ST","9","SS-017620-PV1","SS-017620"
"6950","MARKET ST","0.07992988","Class II","COTTON ST","47TH ST","4","SS-017605-PV1","SS-017605"
"6951","REO DR","0.12829685","Class II","CUMBERLAND ST","WINCHESTER ST","4","SS-023056-PV1","SS-023056"
"6952","REO DR","0.12829685","Class II","CUMBERLAND ST","WINCHESTER ST","4","SS-023056-PV1","SS-023056"
"6953","JUTLAND DR","0.05539809","Class II","HAIDAS AV","IDLEWILD WY","2","SS-014796-PV1","SS-014796"
"6954","JUTLAND DR","0.04263242","Class III","JUTLAND PL","JUTLAND CT","2","SS-014799-PV1","SS-014799"
"6955","JUTLAND DR","0.26920881","Class II","MORENA BL","CAM CORALINO","2","SS-014805-PV1","SS-014805"
"6956","JUTLAND DR","0.02709988","Class II","CAM CORALINO","ATWELL ST","2","SS-014801-PV1","SS-014801"
"6957","JUTLAND DR","0.11105339","Class II","ABER ST","GUILITOY AV","2","SS-014803-PV1","SS-014803"
"6958","JUTLAND DR","0.10007584","Class III","JUTLAND CT","ABER ST","2","SS-014798-PV1","SS-014798"
"6959","JUTLAND DR","0.07861126","Class II","ARCOLA AV","JUTLAND PL","2","SS-014804-PV1","SS-014804"
"6960","JUTLAND DR","0.07848433","Class II","ATWELL ST","ARCOLA AV","2","SS-014800-PV1","SS-014800"
"6961","JUTLAND DR","0.06372810","Class II","GUILITOY AV","HAIDAS AV","2","SS-014797-PV1","SS-014797"
"6962","JUTLAND DR","0.05453589","Class III","HAIDAS AV","IDLEWILD WY","2","SS-014796-PV1","SS-014796"
"6963","JUTLAND DR","0.03945055","Class III","JUTLAND PL","JUTLAND CT","2","SS-014799-PV1","SS-014799"
"6964","JUTLAND DR","0.26916187","Class II","MORENA BL","CAM CORALINO","2","SS-014805-PV1","SS-014805"
"6965","JUTLAND DR","0.02709988","Class II","CAM CORALINO","ATWELL ST","2","SS-014801-PV1","SS-014801"
"6966","JUTLAND DR","0.11481528","Class III","ABER ST","GUILITOY AV","2","SS-014803-PV1","SS-014803"
"6967","JUTLAND DR","0.10072993","Class II","JUTLAND CT","ABER ST","2","SS-014798-PV1","SS-014798"
"6968","JUTLAND DR","0.08049504","Class III","ARCOLA AV","JUTLAND PL","2","SS-014804-PV1","SS-014804"
"6969","JUTLAND DR","0.07848433","Class III","ATWELL ST","ARCOLA AV","2","SS-014800-PV1","SS-014800"
"6970","JUTLAND DR","0.06154438","Class III","GUILITOY AV","HAIDAS AV","2","SS-014797-PV1","SS-014797"
"6971","ZOO PL","0.40242918","Class III","PARK BL","FLORIDA DR","3","SS-029255-PV1","SS-029255"
"6972","ZOO PL","0.28498730","Class III","PARK BL","FLORIDA DR","3","SS-029255-PV1","SS-029255"
"6973","ZOO PL","0.11925911","Class II","PARK BL","FLORIDA DR","3","SS-029255-PV1","SS-029255"
"6974","W LAUREL ST","0.05454580","Class III","ALBATROSS ST","BRANT ST","3","SS-029877-PV1","SS-029877"
"6975","W LAUREL ST","0.05246242","Class III","FRONT ST","ALBATROSS ST","3","SS-029875-PV1","SS-029875"
"6976","W LAUREL ST","0.05208370","Class II","BRANT ST","CURLEW ST","3","SS-029878-PV1","SS-029878"
"6977","W LAUREL ST","0.05195411","Class II","HORTON AV","UNION ST","3","SS-029880-PV1","SS-029880"
"6978","W LAUREL ST","0.01229261","Class II","CURLEW ST","HORTON AV","3","SS-029879-PV1","SS-029879"
"6979","W LAUREL ST","0.05454580","Class IV (One-Way)","ALBATROSS ST","BRANT ST","3","SS-029877-PV1","SS-029877"
"6980","W LAUREL ST","0.05246242","Class IV (One-Way)","FRONT ST","ALBATROSS ST","3","SS-029875-PV1","SS-029875"
"6981","W LAUREL ST","0.05208370","Class IV (One-Way)","BRANT ST","CURLEW ST","3","SS-029878-PV1","SS-029878"
"6982","W LAUREL ST","0.05049912","Class IV (One-Way)","HORTON AV","UNION ST","3","SS-029880-PV1","SS-029880"
"6983","W LAUREL ST","0.01160534","Class IV (One-Way)","CURLEW ST","HORTON AV","3","SS-029879-PV1","SS-029879"
"6984","PARK BL","0.04920070","Class III","ESSEX ST","UNIVERSITY (S FTG)","3","SS-021182-PV1","SS-021182"
"6985","PARK BL","0.04920070","Class III","ESSEX ST","UNIVERSITY (S FTG)","3","SS-021182-PV1","SS-021182"
"6986","PARK BL","0.08171222","Class II","INDIANA ST","ESSEX ST","3","SS-021183-PV1","SS-021183"
"6987","PARK BL","0.12038110","Class II","INDIANA ST","ESSEX ST","3","SS-021183-PV1","SS-021183"
"6988","PARK BL","0.00837631","Class III","UNIVERSITY (S FTG) AV","UNIVERSITY AV","3","SS-031326-PV1","SS-031326"
"6989","PARK BL","0.07408755","Class III","UNIVERSITY (S FTG) AV","UNIVERSITY AV","3","SS-031326-PV1","SS-031326"
"6990","BAYVIEW HEIGHTS DR","0.06522527","Class II","BAYVIEW HEIGHTS PL","BAYVIEW HEIGHTS WY","4","SS-003769-PV1","SS-003769"
"6991","BAYVIEW HEIGHTS DR","0.19529646","Class II","FEDERAL BL","BAYVIEW HEIGHTS PL","4","SS-003770-PV1","SS-003770"
"6992","BAYVIEW HEIGHTS DR","0.06633830","Class II","BAYVIEW HEIGHTS PL","BAYVIEW HEIGHTS WY","4","SS-003769-PV1","SS-003769"
"6993","BAYVIEW HEIGHTS DR","0.19354469","Class III","FEDERAL BL","BAYVIEW HEIGHTS PL","4","SS-003770-PV1","SS-003770"
"6994","FEDERAL BL","0.13498799","Class II","EUCLID AV","PENTECOST WY","4","SS-010956-PV1","SS-010956"
"6995","FEDERAL BL","0.16192601","Class II","PENTECOST WY","BAYVIEW HEIGHTS DR","4","SS-010949-PV1","SS-010949"
"6996","FEDERAL BL","0.41579301","Class II","EUCLID AV","PENTECOST WY","4","SS-010956-PV1","SS-010956"
"6997","FEDERAL BL","0.15885962","Class II","PENTECOST WY","BAYVIEW HEIGHTS DR","4","SS-010949-PV1","SS-010949"
"6998","FLORIDA ST","0.13731704","Class III","ROBINSON AV","UNIVERSITY AV","3","SS-011244-PV1","SS-011244"
"6999","FLORIDA ST","0.13731704","Class III","ROBINSON AV","UNIVERSITY AV","3","SS-011244-PV1","SS-011244"
"7000","OLVERA AV","0.05856689","Class II","BONITA DR","S 58TH ST","4","SS-020531-PV1","SS-020531"
"7001","OLVERA AV","0.05292472","Class III","BONITA DR","S 58TH ST","4","SS-020531-PV1","SS-020531"
"7002","S 58TH ST","0.03327364","Class III","MIRA FLORES DR","OLVERA AV","4","SS-029567-PV1","SS-029567"
"7003","S 58TH ST","0.04850294","Class III","SKYLINE DR","DULUTH AV","4","SS-029565-PV1","SS-029565"
"7004","S 58TH ST","0.16361601","Class III","CHURCHWARD ST","SKYLINE DR","4","SS-029564-PV1","SS-029564"
"7005","S 58TH ST","0.04186681","Class III","DULUTH AV","MIRA FLORES DR","4","SS-029566-PV1","SS-029566"
"7006","S 58TH ST","0.03734536","Class II","MIRA FLORES DR","OLVERA AV","4","SS-029567-PV1","SS-029567"
"7007","S 58TH ST","0.04850294","Class III","SKYLINE DR","DULUTH AV","4","SS-029565-PV1","SS-029565"
"7008","S 58TH ST","0.16656472","Class II","CHURCHWARD ST","SKYLINE DR","4","SS-029564-PV1","SS-029564"
"7009","S 58TH ST","0.04186681","Class II","DULUTH AV","MIRA FLORES DR","4","SS-029566-PV1","SS-029566"
"7010","TEXAS ST","0.23751090","Class II","UNIVERSITY AV","LINCOLN AV","3","SS-026332-PV1","SS-026332"
"7011","TEXAS ST","0.48657301","Class II","LINCOLN AV","POLK AV","3","SS-026331-PV1","SS-026331"
"7012","TEXAS ST","0.11723869","Class II","UNIVERSITY AV","LINCOLN AV","3","SS-026332-PV1","SS-026332"
"7013","TEXAS ST","0.25342124","Class II","LINCOLN AV","POLK AV","3","SS-026331-PV1","SS-026331"
"7014","SANTO RD","0.97116591","Class IV (One-Way)","AERO DR","TIERRASANTA BL","7","SS-024318-PV1","SS-024318"
"7015","SANTO RD","0.07272947","Class IV (One-Way)","AERO DR","TIERRASANTA BL","7","SS-024318-PV1","SS-024318"
"7016","CARMEL KNOLLS DR","0.07423965","Class III","CREST KNOLLS CT","AZZURO CT","1","SS-006404-PV1","SS-006404"
"7017","CARMEL KNOLLS DR","0.07227112","Class III","CARMEL CENTER RD","CREST KNOLLS CT","1","SS-006403-PV1","SS-006403"
"7018","CARMEL KNOLLS DR","0.04748674","Class III","AZZURO CT","AIDA ST","1","SS-006402-PV1","SS-006402"
"7019","CARMEL KNOLLS DR","0.06763465","Class II","AIDA ST","CARMEL CANYON RD","1","SS-006401-PV1","SS-006401"
"7020","CARMEL KNOLLS DR","0.06830151","Class II","CREST KNOLLS CT","AZZURO CT","1","SS-006404-PV1","SS-006404"
"7021","CARMEL KNOLLS DR","0.07422073","Class II","CARMEL CENTER RD","CREST KNOLLS CT","1","SS-006403-PV1","SS-006403"
"7022","CARMEL KNOLLS DR","0.04393164","Class III","AZZURO CT","AIDA ST","1","SS-006402-PV1","SS-006402"
"7023","CARMEL KNOLLS DR","0.06875670","Class III","AIDA ST","CARMEL CANYON RD","1","SS-006401-PV1","SS-006401"
"7024","CARROLL RD","0.64965372","Class II","CARROLL CANYON RD","BROWN DEER RD","6","SS-006557-PV1","SS-006557"
"7025","CARROLL CANYON RD","0.16061889","Class II","YOUNGSTOWN WY","NANCY RIDGE DR","6","SS-006538-PV1","SS-006538"
"7026","CARROLL CANYON RD","0.18771171","Class II","NANCY RIDGE DR","PACIFIC HEIGHTS BL","6","SS-006537-PV1","SS-006537"
"7027","CARROLL CANYON RD","0.35802499","Class II","SCRANTON RD","YOUNGSTOWN WY","6","SS-006539-PV1","SS-006539"
"7028","CARROLL RD","0.65109813","Class II","CARROLL CANYON RD","BROWN DEER RD","6","SS-006557-PV1","SS-006557"
"7029","CARROLL CANYON RD","0.15970839","Class II","YOUNGSTOWN WY","NANCY RIDGE DR","6","SS-006538-PV1","SS-006538"
"7030","CARROLL CANYON RD","0.19187327","Class II","NANCY RIDGE DR","PACIFIC HEIGHTS BL","6","SS-006537-PV1","SS-006537"
"7031","CARROLL CANYON RD","0.07102681","Class II","SCRANTON RD","YOUNGSTOWN WY","6","SS-006539-PV1","SS-006539"
"7032","LEBON DR","0.09577042","Class II","NOBEL DR","UNIVERSITY CENTER LN","6","SS-016240-PV1","SS-016240"
"7033","LEBON DR","0.09228708","Class II","UNIVERSITY CENTER LN","LA JOLLA VILLAGE DR","6","SS-016239-PV1","SS-016239"
"7034","LEBON DR","0.04110025","Class II","CHARMANT DR","NOBEL DR","6","SS-016241-PV1","SS-016241"
"7035","LEBON DR","0.05871632","Class II","NOBEL DR","UNIVERSITY CENTER LN","6","SS-016240-PV1","SS-016240"
"7036","LEBON DR","0.09057395","Class II","UNIVERSITY CENTER LN","LA JOLLA VILLAGE DR","6","SS-016239-PV1","SS-016239"
"7037","LEBON DR","0.16563764","Class II","CHARMANT DR","NOBEL DR","6","SS-016241-PV1","SS-016241"
"7038","CEDAR ST","0.71464620","Class III","30TH ST","FERN ST","3","SS-006755-PV1","SS-006755"
"7039","CEDAR ST","0.13279227","Class III","FERN ST","GROVE ST","3","SS-006756-PV1","SS-006756"
"7040","CEDAR ST","0.05038771","Class III","GROVE ST","31ST ST","3","SS-006758-PV1","SS-006758"
"7041","CEDAR ST","1.47054120","Class III","30TH ST","FERN ST","3","SS-006755-PV1","SS-006755"
"7042","CEDAR ST","0.72041012","Class III","FERN ST","GROVE ST","3","SS-006756-PV1","SS-006756"
"7043","CEDAR ST","0.05038771","Class III","GROVE ST","31ST ST","3","SS-006758-PV1","SS-006758"
"7044","FORT STOCKTON DR","0.07201147","Class II","STEPHENS ST","SUNSET BL","3","SS-011343-PV1","SS-011343"
"7045","FORT STOCKTON DR","0.05189390","Class III","JACKDAW ST","INGALLS ST","3","SS-011355-PV1","SS-011355"
"7046","FORT STOCKTON DR","0.04905336","Class III","RANDOLPH ST","PALMETTO WY","3","SS-011345-PV1","SS-011345"
"7047","FORT STOCKTON DR","0.05132578","Class III","LARK ST","RANDOLPH ST","3","SS-011346-PV1","SS-011346"
"7048","FORT STOCKTON DR","0.05509273","Class II","SUNSET BL","W LEWIS ST","3","SS-011342-PV1","SS-011342"
"7049","FORT STOCKTON DR","0.05340944","Class III","INGALLS ST","LARK ST","3","SS-011347-PV1","SS-011347"
"7050","FORT STOCKTON DR","0.04829548","Class III","PALMETTO WY","STEPHENS ST","3","SS-011344-PV1","SS-011344"
"7051","FORT STOCKTON DR","0.06777508","Class II","STEPHENS ST","SUNSET BL","3","SS-011343-PV1","SS-011343"
"7052","FORT STOCKTON DR","0.05189390","Class III","JACKDAW ST","INGALLS ST","3","SS-011355-PV1","SS-011355"
"7053","FORT STOCKTON DR","0.04905336","Class III","RANDOLPH ST","PALMETTO WY","3","SS-011345-PV1","SS-011345"
"7054","FORT STOCKTON DR","0.05132578","Class III","LARK ST","RANDOLPH ST","3","SS-011346-PV1","SS-011346"
"7055","FORT STOCKTON DR","0.44147244","Class II","SUNSET BL","W LEWIS ST","3","SS-011342-PV1","SS-011342"
"7056","FORT STOCKTON DR","0.05340944","Class III","INGALLS ST","LARK ST","3","SS-011347-PV1","SS-011347"
"7057","FORT STOCKTON DR","0.04829548","Class III","PALMETTO WY","STEPHENS ST","3","SS-011344-PV1","SS-011344"
"7058","UNIVERSITY AV","0.06817189","Class II","04TH AV","05TH AV","3","SS-027213-PV1","SS-027213"
"7059","UNIVERSITY AV","0.06647707","Class IV (One-Way)","01ST AV","03RD AV","3","SS-027216-PV1","SS-027216"
"7060","UNIVERSITY AV","0.06665626","Class IV (One-Way)","03RD AV","04TH AV","3","SS-027215-PV1","SS-027215"
"7061","UNIVERSITY AV","0.06667825","Class IV (One-Way)","03RD AV","04TH AV","3","SS-027215-PV1","SS-027215"
"7062","UNIVERSITY AV","0.06650000","Class IV (One-Way)","01ST AV","03RD AV","3","SS-027216-PV1","SS-027216"
"7063","UNIVERSITY AV","0.06819277","Class II","04TH AV","05TH AV","3","SS-027213-PV1","SS-027213"
"7064","BOUNDARY ST","0.36885452","Class II","MONTCLAIR ST","LAUREL ST","3","SS-004708-PV1","SS-004708"
"7065","BOUNDARY ST","0.36880092","Class III","MONTCLAIR ST","LAUREL ST","3","SS-004708-PV1","SS-004708"
"7066","43RD ST","0.95986673","Class II","POLK AV","ORANGE AV","9","SS-001036-PV1","SS-001036"
"7067","43RD ST","0.12558875","Class II","UNIVERSITY AV","POLK AV","9","SS-001037-PV1","SS-001037"
"7068","GENESEE AV","0.07216528","Class II","LINDA VISTA RD","WHITNEY ST","7","SS-012016-PV1","SS-012016"
"7069","GENESEE AV","0.07348873","Class II","LINDA VISTA RD","WHITNEY ST","7","SS-012016-PV1","SS-012016"
"7070","S MEADOWBROOK DR","0.10492921","Class II","SHADYGLADE LN","BROOKHAVEN RD","4","SS-029638-PV1","SS-029638"
"7071","S MEADOWBROOK DR","0.16099470","Class II","S ROYAL OAK DR","PARADISE VALLEY RD","4","SS-029640-PV1","SS-029640"
"7072","S MEADOWBROOK DR","0.05461926","Class II","BROOKMEADOW PL","S ROYAL OAK DR","4","SS-029639-PV1","SS-029639"
"7073","S MEADOWBROOK DR","0.07840930","Class II","BROOKHAVEN RD","BROOKMEADOW PL","4","SS-029641-PV1","SS-029641"
"7074","S MEADOWBROOK DR","0.32781107","Class II","MEADOWBROOK DR","SHADYGLADE LN","4","SS-029637-PV1","SS-029637"
"7075","S MEADOWBROOK DR","0.09937394","Class II","SHADYGLADE LN","BROOKHAVEN RD","4","SS-029638-PV1","SS-029638"
"7076","S MEADOWBROOK DR","0.29099907","Class II","S ROYAL OAK DR","PARADISE VALLEY RD","4","SS-029640-PV1","SS-029640"
"7077","S MEADOWBROOK DR","0.05610218","Class II","BROOKMEADOW PL","S ROYAL OAK DR","4","SS-029639-PV1","SS-029639"
"7078","S MEADOWBROOK DR","0.07527666","Class II","BROOKHAVEN RD","BROOKMEADOW PL","4","SS-029641-PV1","SS-029641"
"7079","S MEADOWBROOK DR","0.21060968","Class II","MEADOWBROOK DR","SHADYGLADE LN","4","SS-029637-PV1","SS-029637"
"7080","CAM RUIZ","0.26437335","Class II","MIRALANI DR","CARROLL CANYON RD","6","SS-005910-PV1","SS-005910"
"7081","CAM RUIZ","0.26410209","Class II","MIRALANI DR","CARROLL CANYON RD","6","SS-005910-PV1","SS-005910"
"7082","CAM RUIZ","0.07069220","Class II","CARROLL CANYON RD","JADE COAST DR","6","SS-031962-PV1","SS-031962"
"7083","CAM RUIZ","0.07050537","Class II","CARROLL CANYON RD","JADE COAST DR","6","SS-031962-PV1","SS-031962"
"7084","PARADISE VALLEY RD","0.26639414","Class IV (One-Way)","PARKWOOD DR","DEEP DELL RD","4","SS-021163-PV1","SS-021163"
"7085","PARADISE VALLEY RD","0.25038105","Class II","DEEP DELL RD","S MEADOWBROOK DR","4","SS-021162-PV1","SS-021162"
"7086","PARADISE VALLEY RD","0.26638600","Class IV (One-Way)","PARKWOOD DR","DEEP DELL RD","4","SS-021163-PV1","SS-021163"
"7087","PARADISE VALLEY RD","0.33339939","Class II","DEEP DELL RD","S MEADOWBROOK DR","4","SS-021162-PV1","SS-021162"
"7088","PARADISE VALLEY RD","0.05686693","Class II","S MEADOWBROOK DR","CITY BOUNDARY","4","SS-021161-PV1","SS-021161"
"7089","PARADISE VALLEY RD","0.16487651","Class II","S MEADOWBROOK DR","CITY BOUNDARY","4","SS-021161-PV1","SS-021161"
"7090","STATE ST","0.07208745","Class II","W KALMIA ST","W LAUREL ST","3","SS-025568-PV1","SS-025568"
"7091","STATE ST","0.06832944","Class II","W KALMIA ST","W LAUREL ST","3","SS-025568-PV1","SS-025568"
"7092","01ST AV","0.06875370","Class II","LAUREL ST","MAPLE ST","3","SS-000019-PV1","SS-000019"
"7093","01ST AV","0.06874656","Class II","LAUREL ST","MAPLE ST","3","SS-000019-PV1","SS-000019"
"7094","FALCON ST","0.07083433","Class III","W WASHINGTON ST","FORT STOCKTON DR","3","SS-010837-PV1","SS-010837"
"7095","FALCON ST","0.14313874","Class III","W UNIVERSITY AV","W WASHINGTON ST","3","SS-010845-PV1","SS-010845"
"7096","FALCON ST","0.23751090","Class II","W WASHINGTON ST","FORT STOCKTON DR","3","SS-010837-PV1","SS-010837"
"7097","FALCON ST","0.48284780","Class II","W UNIVERSITY AV","W WASHINGTON ST","3","SS-010845-PV1","SS-010845"
"7098","CHURCHWARD ST","0.07027764","Class II","LAS FLORES ST","LOS ALAMOS DR","4","SS-007187-PV1","SS-007187"
"7099","CHURCHWARD ST","0.06888485","Class II","MANZANARES WY","DREAM ST","4","SS-007184-PV1","SS-007184"
"7100","CHURCHWARD ST","0.04376028","Class II","LAS FLORES TR","LAS FLORES ST","4","SS-007186-PV1","SS-007186"
"7101","CHURCHWARD ST","0.02129921","Class III","ELK ST","S 58TH ST","4","SS-007189-PV1","SS-007189"
"7102","CHURCHWARD ST","0.08069601","Class II","DREAM ST","LAS FLORES TR","4","SS-007185-PV1","SS-007185"
"7103","CHURCHWARD ST","0.02538516","Class III","LOS ALAMOS DR","ELK ST","4","SS-007188-PV1","SS-007188"
"7104","CHURCHWARD ST","0.16981916","Class II","S SAN JACINTO DR","MANZANARES WY","4","SS-007183-PV1","SS-007183"
"7105","CHURCHWARD ST","0.07027764","Class III","LAS FLORES ST","LOS ALAMOS DR","4","SS-007187-PV1","SS-007187"
"7106","CHURCHWARD ST","0.06866907","Class III","MANZANARES WY","DREAM ST","4","SS-007184-PV1","SS-007184"
"7107","CHURCHWARD ST","0.04376028","Class III","LAS FLORES TR","LAS FLORES ST","4","SS-007186-PV1","SS-007186"
"7108","CHURCHWARD ST","0.02691296","Class III","ELK ST","S 58TH ST","4","SS-007189-PV1","SS-007189"
"7109","CHURCHWARD ST","0.08069601","Class III","DREAM ST","LAS FLORES TR","4","SS-007185-PV1","SS-007185"
"7110","CHURCHWARD ST","0.02538516","Class III","LOS ALAMOS DR","ELK ST","4","SS-007188-PV1","SS-007188"
"7111","CHURCHWARD ST","0.16981916","Class III","S SAN JACINTO DR","MANZANARES WY","4","SS-007183-PV1","SS-007183"
"7112","GOVERNOR DR","0.18318445","Class III","LAKEWOOD ST","GREENWICH DR","6","SS-012430-PV1","SS-012430"
"7113","GOVERNOR DR","0.15542547","Class III","GULLSTRAND ST","LAKEWOOD ST","6","SS-012441-PV1","SS-012441"
"7114","GOVERNOR DR","0.18220311","Class III","LAKEWOOD ST","GREENWICH DR","6","SS-012430-PV1","SS-012430"
"7115","GOVERNOR DR","0.06544759","Class III","PANEL CT","GULLSTRAND ST","6","SS-012432-PV1","SS-012432"
"7116","GOVERNOR DR","0.06463757","Class III","PANEL CT","GULLSTRAND ST","6","SS-012432-PV1","SS-012432"
"7117","GOVERNOR DR","0.15261983","Class III","GULLSTRAND ST","LAKEWOOD ST","6","SS-012441-PV1","SS-012441"
"7118","GOVERNOR DR","0.03375376","Class III","KANTOR ST","PANEL CT","6","SS-012433-PV1","SS-012433"
"7119","GOVERNOR DR","0.03341826","Class III","KANTOR ST","PANEL CT","6","SS-012433-PV1","SS-012433"
"7120","CARMEL MTN RD","0.15689539","Class II","EQUESTRIAN RIDGE","LITTLE MCGONIGLE RAN RD","1","SS-032302-PV1","SS-032302"
"7121","CARMEL MTN RD","0.03065855","Class II","LAUREL CHASE DR","LAUREL CHASE DR","1","SS-030466-PV1","SS-030466"
"7122","CARMEL MTN RD","0.04645756","Class II","BEGIN","LITTLE MCGONIGLE RAN RD","1","SS-031664-PV1","SS-031664"
"7123","CARMEL MTN RD","0.42074777","Class II","GALLOP CREST CT","STABLE VISTA WAY","1","SS-032309-PV1","SS-032309"
"7124","CARMEL MTN RD","0.31575755","Class II","TIMBER BROOK LN","GALLOP CREST CT","1","SS-030467-PV1","SS-030467"
"7125","CARMEL MTN RD","0.20252542","Class II","SPUR CROSSING WAY","EQUESTRIAN RIDGE","1","SS-032305-PV1","SS-032305"
